offense,number,cleared,cleared_under_18,month,year
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",55,30,3,3,2019
4. Assault Total,"2,343","1,591",179,3,2019
a. Firearm,37,7,,3,2019
b. Knife or Cutting Instrument,72,55,4,3,2019
c. Other Dangerous Weapon,89,61,6,3,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",76,55,1,3,2019
Aggravated Assault Total,274,178,11,3,2019
"4e. Other Assaults - Simple, Not Aggravated","2,069","1,413",168,3,2019
5. Burglary Total,485,102,11,3,2019
a. Forcible Entry,309,57,7,3,2019
b. Unlawful Entry - No Force,136,37,4,3,2019
c. Attempted Forcible Entry,40,8,,3,2019
6. Larceny - Theft Total,"2,913",718,41,3,2019
7. Motor Vehicle Theft Total,404,62,18,3,2019
a. Autos,381,61,18,3,2019
b. Trucks and Buses,6,1,,3,2019
c. Other Vehicles,17,,,3,2019
8. Arson,21,4,,3,2019
9. Human Trafficking - Commercial Sex Act,,,,3,2019
10. Human Trafficking - Involuntary Servitude,1,1,,3,2019
Grand Total,"6,356","2,560",258,3,2019
Index Violent Crime,461,259,20,3,2019
Index Property Crime,"3,823",886,70,3,2019
Part I Crime (Index Crime),"4,284","1,145",90,3,2019
1. Criminal Homicide,4,4,,4,2019
a. Murder and Nonnegligent Homicide,3,3,,4,2019
b. Manslaughter by Negligence,1,1,,4,2019
2. Forcible Rape Total,61,25,3,4,2019
a. Rape by Force,59,24,2,4,2019
b. Attempts to commit Forcible Rape,2,1,1,4,2019
3. Robbery Total,132,36,4,4,2019
a. Firearm,36,13,1,4,2019
b. Knife or Cutting Instrument,11,3,1,4,2019
c. Other Dangerous Weapon,17,3,,4,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",68,17,2,4,2019
4. Assault Total,"2,431","1,624",158,4,2019
a. Firearm,67,29,3,4,2019
b. Knife or Cutting Instrument,69,36,,4,2019
c. Other Dangerous Weapon,120,83,6,4,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",84,62,4,4,2019
Aggravated Assault Total,340,210,13,4,2019
"4e. Other Assaults - Simple, Not Aggravated","2,091","1,414",145,4,2019
5. Burglary Total,429,113,11,4,2019
a. Forcible Entry,230,51,3,4,2019
b. Unlawful Entry - No Force,156,49,8,4,2019
c. Attempted Forcible Entry,43,13,,4,2019
6. Larceny - Theft Total,"2,997",719,44,4,2019
7. Motor Vehicle Theft Total,410,54,16,4,2019
a. Autos,371,49,13,4,2019
b. Trucks and Buses,9,2,2,4,2019
c. Other Vehicles,30,3,1,4,2019
8. Arson,17,7,3,4,2019
9. Human Trafficking - Commercial Sex Act,,,,4,2019
10. Human Trafficking - Involuntary Servitude,,,,4,2019
Grand Total,"6,481","2,582",239,4,2019
Index Violent Crime,536,274,20,4,2019
Index Property Crime,"3,853",893,74,4,2019
Part I Crime (Index Crime),"4,389","1,167",94,4,2019
1. Criminal Homicide,10,4,,5,2019
a. Murder and Nonnegligent Homicide,8,3,,5,2019
b. Manslaughter by Negligence,2,1,,5,2019
2. Forcible Rape Total,70,31,6,5,2019
a. Rape by Force,69,30,6,5,2019
b. Attempts to commit Forcible Rape,1,1,,5,2019
3. Robbery Total,166,44,3,5,2019
a. Firearm,42,10,1,5,2019
b. Knife or Cutting Instrument,15,6,1,5,2019
c. Other Dangerous Weapon,19,4,1,5,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",90,24,,5,2019
4. Assault Total,"2,732","1,843",194,5,2019
a. Firearm,41,16,1,5,2019
b. Knife or Cutting Instrument,88,59,3,5,2019
c. Other Dangerous Weapon,152,93,5,5,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",80,52,3,5,2019
Aggravated Assault Total,361,220,12,5,2019
"4e. Other Assaults - Simple, Not Aggravated","2,371","1,623",182,5,2019
5. Burglary Total,504,118,7,5,2019
a. Forcible Entry,264,72,5,5,2019
b. Unlawful Entry - No Force,183,40,2,5,2019
c. Attempted Forcible Entry,57,6,,5,2019
6. Larceny - Theft Total,"3,011",674,37,5,2019
7. Motor Vehicle Theft Total,364,49,14,5,2019
a. Autos,330,47,14,5,2019
b. Trucks and Buses,3,1,,5,2019
c. Other Vehicles,31,1,,5,2019
8. Arson,15,4,2,5,2019
9. Human Trafficking - Commercial Sex Act,1,,,5,2019
10. Human Trafficking - Involuntary Servitude,1,,,5,2019
Grand Total,"6,873","2,767",263,5,2019
Index Violent Crime,605,298,21,5,2019
Index Property Crime,"3,894",845,60,5,2019
Part I Crime (Index Crime),"4,499","1,143",81,5,2019
1. Criminal Homicide,9,3,,6,2019
a. Murder and Nonnegligent Homicide,8,3,,6,2019
b. Manslaughter by Negligence,1,,,6,2019
2. Forcible Rape Total,81,17,2,6,2019
a. Rape by Force,79,17,2,6,2019
b. Attempts to commit Forcible Rape,2,,,6,2019
3. Robbery Total,163,44,5,6,2019
a. Firearm,37,5,,6,2019
b. Knife or Cutting Instrument,10,3,,6,2019
c. Other Dangerous Weapon,15,4,,6,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",101,32,5,6,2019
4. Assault Total,"2,560","1,711",105,6,2019
a. Firearm,68,15,,6,2019
b. Knife or Cutting Instrument,106,67,3,6,2019
c. Other Dangerous Weapon,137,89,5,6,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",82,53,2,6,2019
Aggravated Assault Total,393,224,10,6,2019
"4e. Other Assaults - Simple, Not Aggravated","2,167","1,487",95,6,2019
5. Burglary Total,537,83,11,6,2019
a. Forcible Entry,295,48,6,6,2019
b. Unlawful Entry - No Force,201,30,5,6,2019
c. Attempted Forcible Entry,41,5,,6,2019
6. Larceny - Theft Total,"3,270",642,39,6,2019
7. Motor Vehicle Theft Total,429,56,13,6,2019
a. Autos,381,53,10,6,2019
b. Trucks and Buses,10,,,6,2019
c. Other Vehicles,38,3,3,6,2019
8. Arson,16,5,,6,2019
9. Human Trafficking - Commercial Sex Act,,,,6,2019
10. Human Trafficking - Involuntary Servitude,,,,6,2019
Grand Total,"7,065","2,561",175,6,2019
Index Violent Crime,645,288,17,6,2019
Index Property Crime,"4,252",786,63,6,2019
Part I Crime (Index Crime),"4,897","1,074",80,6,2019
1. Criminal Homicide,11,3,,7,2019
a. Murder and Nonnegligent Homicide,10,3,,7,2019
b. Manslaughter by Negligence,1,,,7,2019
2. Forcible Rape Total,80,20,,7,2019
a. Rape by Force,78,18,,7,2019
b. Attempts to commit Forcible Rape,2,2,,7,2019
3. Robbery Total,167,60,9,7,2019
a. Firearm,46,9,3,7,2019
b. Knife or Cutting Instrument,15,7,,7,2019
c. Other Dangerous Weapon,21,10,,7,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",85,34,6,7,2019
4. Assault Total,"2,609","1,765",69,7,2019
a. Firearm,77,25,,7,2019
b. Knife or Cutting Instrument,76,46,2,7,2019
c. Other Dangerous Weapon,105,59,2,7,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",77,65,3,7,2019
Aggravated Assault Total,335,195,7,7,2019
"4e. Other Assaults - Simple, Not Aggravated","2,274","1,570",62,7,2019
5. Burglary Total,617,95,13,7,2019
a. Forcible Entry,326,52,2,7,2019
b. Unlawful Entry - No Force,231,36,10,7,2019
c. Attempted Forcible Entry,60,7,1,7,2019
6. Larceny - Theft Total,"3,573",675,46,7,2019
7. Motor Vehicle Theft Total,611,53,16,7,2019
a. Autos,526,45,13,7,2019
b. Trucks and Buses,16,1,,7,2019
c. Other Vehicles,69,7,3,7,2019
8. Arson,21,3,,7,2019
9. Human Trafficking - Commercial Sex Act,,,,7,2019
10. Human Trafficking - Involuntary Servitude,,,,7,2019
Grand Total,"7,689","2,674",153,7,2019
Index Violent Crime,592,278,16,7,2019
Index Property Crime,"4,822",826,75,7,2019
Part I Crime (Index Crime),"5,414","1,104",91,7,2019
1. Criminal Homicide,16,8,,8,2019
a. Murder and Nonnegligent Homicide,11,8,,8,2019
b. Manslaughter by Negligence,5,,,8,2019
2. Forcible Rape Total,68,23,2,8,2019
a. Rape by Force,65,23,2,8,2019
b. Attempts to commit Forcible Rape,3,,,8,2019
3. Robbery Total,203,61,8,8,2019
a. Firearm,63,20,6,8,2019
b. Knife or Cutting Instrument,18,6,1,8,2019
c. Other Dangerous Weapon,28,7,1,8,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",94,28,,8,2019
4. Assault Total,"2,668","1,795",95,8,2019
a. Firearm,92,26,1,8,2019
b. Knife or Cutting Instrument,74,49,4,8,2019
c. Other Dangerous Weapon,145,95,4,8,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",74,60,3,8,2019
Aggravated Assault Total,385,230,12,8,2019
"4e. Other Assaults - Simple, Not Aggravated","2,283","1,565",83,8,2019
5. Burglary Total,668,105,12,8,2019
a. Forcible Entry,344,43,6,8,2019
b. Unlawful Entry - No Force,244,45,5,8,2019
c. Attempted Forcible Entry,80,17,1,8,2019
6. Larceny - Theft Total,"3,618",658,49,8,2019
7. Motor Vehicle Theft Total,607,63,29,8,2019
a. Autos,528,51,22,8,2019
b. Trucks and Buses,11,2,,8,2019
c. Other Vehicles,68,10,7,8,2019
8. Arson,12,2,,8,2019
9. Human Trafficking - Commercial Sex Act,2,,,8,2019
10. Human Trafficking - Involuntary Servitude,,,,8,2019
Grand Total,"7,862","2,715",195,8,2019
Index Violent Crime,667,322,22,8,2019
Index Property Crime,"4,905",828,90,8,2019
Part I Crime (Index Crime),"5,572","1,150",112,8,2019
1. Criminal Homicide,10,9,,9,2019
a. Murder and Nonnegligent Homicide,10,9,,9,2019
b. Manslaughter by Negligence,,,,9,2019
2. Forcible Rape Total,70,13,2,9,2019
a. Rape by Force,68,12,2,9,2019
b. Attempts to commit Forcible Rape,2,1,,9,2019
3. Robbery Total,180,50,11,9,2019
a. Firearm,55,7,1,9,2019
b. Knife or Cutting Instrument,21,5,,9,2019
c. Other Dangerous Weapon,20,6,1,9,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",84,32,9,9,2019
4. Assault Total,"2,595","1,665",163,9,2019
a. Firearm,74,23,,9,2019
b. Knife or Cutting Instrument,88,63,4,9,2019
c. Other Dangerous Weapon,101,64,4,9,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",57,46,2,9,2019
Aggravated Assault Total,320,196,10,9,2019
"4e. Other Assaults - Simple, Not Aggravated","2,275","1,469",153,9,2019
5. Burglary Total,593,117,11,9,2019
a. Forcible Entry,324,67,4,9,2019
b. Unlawful Entry - No Force,202,39,5,9,2019
c. Attempted Forcible Entry,67,11,2,9,2019
6. Larceny - Theft Total,"3,379",708,39,9,2019
7. Motor Vehicle Theft Total,564,36,7,9,2019
a. Autos,480,30,7,9,2019
b. Trucks and Buses,7,1,,9,2019
c. Other Vehicles,77,5,,9,2019
8. Arson,13,3,,9,2019
9. Human Trafficking - Commercial Sex Act,,,,9,2019
10. Human Trafficking - Involuntary Servitude,,,,9,2019
Grand Total,"7,404","2,601",233,9,2019
Index Violent Crime,580,268,23,9,2019
Index Property Crime,"4,549",864,57,9,2019
Part I Crime (Index Crime),"5,129","1,132",80,9,2019
1. Criminal Homicide,9,8,,10,2019
a. Murder and Nonnegligent Homicide,7,5,,10,2019
b. Manslaughter by Negligence,2,3,,10,2019
2. Forcible Rape Total,65,20,2,10,2019
a. Rape by Force,61,18,2,10,2019
b. Attempts to commit Forcible Rape,4,2,,10,2019
3. Robbery Total,215,55,12,10,2019
a. Firearm,66,16,2,10,2019
b. Knife or Cutting Instrument,32,7,1,10,2019
c. Other Dangerous Weapon,15,6,,10,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",102,26,9,10,2019
4. Assault Total,"2,566","1,729",202,10,2019
a. Firearm,52,16,,10,2019
b. Knife or Cutting Instrument,55,44,2,10,2019
c. Other Dangerous Weapon,116,81,3,10,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",41,32,1,10,2019
Aggravated Assault Total,264,173,6,10,2019
"4e. Other Assaults - Simple, Not Aggravated","2,302","1,556",196,10,2019
5. Burglary Total,619,123,8,10,2019
a. Forcible Entry,326,77,6,10,2019
b. Unlawful Entry - No Force,226,33,1,10,2019
c. Attempted Forcible Entry,67,13,1,10,2019
6. Larceny - Theft Total,"3,522",733,57,10,2019
7. Motor Vehicle Theft Total,481,58,8,10,2019
a. Autos,445,56,7,10,2019
b. Trucks and Buses,3,,,10,2019
c. Other Vehicles,33,2,1,10,2019
8. Arson,17,5,1,10,2019
9. Human Trafficking - Commercial Sex Act,,,,10,2019
10. Human Trafficking - Involuntary Servitude,,,,10,2019
Grand Total,"7,494","2,731",290,10,2019
Index Violent Crime,551,253,20,10,2019
Index Property Crime,"4,639",919,74,10,2019
Part I Crime (Index Crime),"5,190","1,172",94,10,2019
1. Criminal Homicide,11,8,,11,2019
a. Murder and Nonnegligent Homicide,10,7,,11,2019
b. Manslaughter by Negligence,1,1,,11,2019
2. Forcible Rape Total,76,27,7,11,2019
a. Rape by Force,74,26,6,11,2019
b. Attempts to commit Forcible Rape,2,1,1,11,2019
3. Robbery Total,159,45,10,11,2019
a. Firearm,48,9,2,11,2019
b. Knife or Cutting Instrument,16,10,2,11,2019
c. Other Dangerous Weapon,8,3,1,11,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",87,23,5,11,2019
4. Assault Total,"2,393","1,622",193,11,2019
a. Firearm,59,19,1,11,2019
b. Knife or Cutting Instrument,64,38,1,11,2019
c. Other Dangerous Weapon,102,71,5,11,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",51,34,4,11,2019
Aggravated Assault Total,276,162,11,11,2019
"4e. Other Assaults - Simple, Not Aggravated","2,117","1,460",182,11,2019
5. Burglary Total,502,112,11,11,2019
a. Forcible Entry,278,65,3,11,2019
b. Unlawful Entry - No Force,172,39,7,11,2019
c. Attempted Forcible Entry,52,8,1,11,2019
6. Larceny - Theft Total,"3,263",673,60,11,2019
7. Motor Vehicle Theft Total,550,61,20,11,2019
a. Autos,513,58,20,11,2019
b. Trucks and Buses,6,,,11,2019
c. Other Vehicles,31,3,,11,2019
8. Arson,14,3,1,11,2019
9. Human Trafficking - Commercial Sex Act,1,,,11,2019
10. Human Trafficking - Involuntary Servitude,1,,,11,2019
Grand Total,"6,969","2,551",302,11,2019
Index Violent Crime,521,241,28,11,2019
Index Property Crime,"4,329",849,92,11,2019
Part I Crime (Index Crime),"4,850","1,090",120,11,2019
1. Criminal Homicide,13,7,,12,2019
a. Murder and Nonnegligent Homicide,11,7,,12,2019
b. Manslaughter by Negligence,2,,,12,2019
2. Forcible Rape Total,43,22,3,12,2019
a. Rape by Force,43,21,3,12,2019
b. Attempts to commit Forcible Rape,,1,,12,2019
3. Robbery Total,190,42,5,12,2019
a. Firearm,78,11,1,12,2019
b. Knife or Cutting Instrument,17,3,,12,2019
c. Other Dangerous Weapon,26,6,,12,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",69,22,4,12,2019
4. Assault Total,"2,368","1,633",168,12,2019
a. Firearm,47,18,5,12,2019
b. Knife or Cutting Instrument,68,62,6,12,2019
c. Other Dangerous Weapon,94,58,5,12,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",69,51,5,12,2019
Aggravated Assault Total,278,189,21,12,2019
"4e. Other Assaults - Simple, Not Aggravated","2,090","1,444",147,12,2019
5. Burglary Total,527,88,8,12,2019
a. Forcible Entry,320,44,1,12,2019
b. Unlawful Entry - No Force,154,37,6,12,2019
c. Attempted Forcible Entry,53,7,1,12,2019
6. Larceny - Theft Total,"3,402",721,43,12,2019
7. Motor Vehicle Theft Total,610,57,21,12,2019
a. Autos,586,51,20,12,2019
b. Trucks and Buses,5,2,,12,2019
c. Other Vehicles,19,4,1,12,2019
8. Arson,22,9,3,12,2019
9. Human Trafficking - Commercial Sex Act,,,,12,2019
10. Human Trafficking - Involuntary Servitude,,,,12,2019
Grand Total,"7,175","2,579",251,12,2019
Index Violent Crime,522,260,29,12,2019
Index Property Crime,"4,561",875,75,12,2019
Part I Crime (Index Crime),"5,083","1,135",104,12,2019
1. Criminal Homicide,7,8,,1,2020
a. Murder and Nonnegligent Homicide,6,8,,1,2020
b. Manslaughter by Negligence,1,,,1,2020
2. Forcible Rape Total,56,22,4,1,2020
a. Rape by Force,56,22,4,1,2020
b. Attempts to commit Forcible Rape,,,,1,2020
3. Robbery Total,229,52,10,1,2020
a. Firearm,78,11,1,1,2020
b. Knife or Cutting Instrument,27,7,,1,2020
c. Other Dangerous Weapon,26,4,,1,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",98,30,9,1,2020
4. Assault Total,"2,377","1,649",144,1,2020
a. Firearm,66,17,,1,2020
b. Knife or Cutting Instrument,67,48,1,1,2020
c. Other Dangerous Weapon,66,40,2,1,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",71,55,6,1,2020
Aggravated Assault Total,270,160,9,1,2020
"4e. Other Assaults - Simple, Not Aggravated","2,107","1,489",135,1,2020
5. Burglary Total,535,96,3,1,2020
a. Forcible Entry,347,60,2,1,2020
b. Unlawful Entry - No Force,129,29,1,1,2020
c. Attempted Forcible Entry,59,7,,1,2020
6. Larceny - Theft Total,"3,505",681,50,1,2020
7. Motor Vehicle Theft Total,579,57,12,1,2020
a. Autos,552,55,11,1,2020
b. Trucks and Buses,3,2,1,1,2020
c. Other Vehicles,24,,,1,2020
8. Arson,16,2,,1,2020
9. Human Trafficking - Commercial Sex Act,,,,1,2020
10. Human Trafficking - Involuntary Servitude,,,,1,2020
Grand Total,"7,304","2,567",223,1,2020
Index Violent Crime,561,242,23,1,2020
Index Property Crime,"4,635",836,65,1,2020
Part I Crime (Index Crime),"5,196","1,078",88,1,2020
1. Criminal Homicide,11,8,,2,2020
a. Murder and Nonnegligent Homicide,6,6,,2,2020
b. Manslaughter by Negligence,5,2,,2,2020
2. Forcible Rape Total,65,22,3,2,2020
a. Rape by Force,64,22,3,2,2020
b. Attempts to commit Forcible Rape,1,,,2,2020
3. Robbery Total,162,49,7,2,2020
a. Firearm,52,9,,2,2020
b. Knife or Cutting Instrument,24,5,1,2,2020
c. Other Dangerous Weapon,21,7,1,2,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",65,28,5,2,2020
4. Assault Total,"2,166","1,524",154,2,2020
a. Firearm,42,11,,2,2020
b. Knife or Cutting Instrument,56,29,3,2,2020
c. Other Dangerous Weapon,72,54,6,2,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",45,35,2,2,2020
Aggravated Assault Total,215,129,11,2,2020
"4e. Other Assaults - Simple, Not Aggravated","1,951","1,395",143,2,2020
5. Burglary Total,481,75,8,2,2020
a. Forcible Entry,288,53,5,2,2020
b. Unlawful Entry - No Force,138,21,3,2,2020
c. Attempted Forcible Entry,55,1,,2,2020
6. Larceny - Theft Total,"3,166",628,42,2,2020
7. Motor Vehicle Theft Total,492,46,6,2,2020
a. Autos,464,43,6,2,2020
b. Trucks and Buses,8,2,,2,2020
c. Other Vehicles,20,1,,2,2020
8. Arson,11,1,,2,2020
9. Human Trafficking - Commercial Sex Act,,,,2,2020
10. Human Trafficking - Involuntary Servitude,,,,2,2020
Grand Total,"6,554","2,353",220,2,2020
Index Violent Crime,448,206,21,2,2020
Index Property Crime,"4,150",750,56,2,2020
Part I Crime (Index Crime),"4,598",956,77,2,2020
1. Criminal Homicide,20,9,2,3,2020
a. Murder and Nonnegligent Homicide,15,8,2,3,2020
b. Manslaughter by Negligence,5,1,,3,2020
2. Forcible Rape Total,65,19,,3,2020
a. Rape by Force,64,18,,3,2020
b. Attempts to commit Forcible Rape,1,1,,3,2020
3. Robbery Total,119,45,5,3,2020
a. Firearm,46,14,3,3,2020
b. Knife or Cutting Instrument,13,6,1,3,2020
c. Other Dangerous Weapon,16,7,,3,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",44,18,1,3,2020
4. Assault Total,"2,331","1,617",93,3,2020
a. Firearm,51,17,2,3,2020
b. Knife or Cutting Instrument,60,42,2,3,2020
c. Other Dangerous Weapon,103,71,5,3,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",52,44,5,3,2020
Aggravated Assault Total,266,174,14,3,2020
"4e. Other Assaults - Simple, Not Aggravated","2,065","1,443",79,3,2020
5. Burglary Total,461,86,6,3,2020
a. Forcible Entry,289,57,4,3,2020
b. Unlawful Entry - No Force,132,23,1,3,2020
c. Attempted Forcible Entry,40,6,1,3,2020
6. Larceny - Theft Total,"2,972",511,35,3,2020
7. Motor Vehicle Theft Total,626,50,18,3,2020
a. Autos,585,47,17,3,2020
b. Trucks and Buses,9,,,3,2020
c. Other Vehicles,32,3,1,3,2020
8. Arson,16,7,1,3,2020
9. Human Trafficking - Commercial Sex Act,1,1,,3,2020
10. Human Trafficking - Involuntary Servitude,1,,,3,2020
Grand Total,"6,612","2,345",160,3,2020
Index Violent Crime,465,246,21,3,2020
Index Property Crime,"4,075",654,60,3,2020
Part I Crime (Index Crime),"4,540",900,81,3,2020
1. Criminal Homicide,8,2,,4,2020
a. Murder and Nonnegligent Homicide,6,2,,4,2020
b. Manslaughter by Negligence,2,,,4,2020
2. Forcible Rape Total,38,12,2,4,2020
a. Rape by Force,38,12,2,4,2020
b. Attempts to commit Forcible Rape,,,,4,2020
3. Robbery Total,120,34,2,4,2020
a. Firearm,49,10,1,4,2020
b. Knife or Cutting Instrument,12,4,,4,2020
c. Other Dangerous Weapon,8,2,,4,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",51,18,1,4,2020
4. Assault Total,"1,807","1,128",34,4,2020
a. Firearm,36,19,1,4,2020
b. Knife or Cutting Instrument,71,47,,4,2020
c. Other Dangerous Weapon,61,44,1,4,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",28,22,1,4,2020
Aggravated Assault Total,196,132,3,4,2020
"4e. Other Assaults - Simple, Not Aggravated","1,611",996,31,4,2020
5. Burglary Total,445,55,5,4,2020
a. Forcible Entry,269,27,,4,2020
b. Unlawful Entry - No Force,120,22,4,4,2020
c. Attempted Forcible Entry,56,6,1,4,2020
6. Larceny - Theft Total,"2,434",298,11,4,2020
7. Motor Vehicle Theft Total,626,29,10,4,2020
a. Autos,579,28,10,4,2020
b. Trucks and Buses,5,,,4,2020
c. Other Vehicles,42,1,,4,2020
8. Arson,14,2,1,4,2020
9. Human Trafficking - Commercial Sex Act,1,,,4,2020
10. Human Trafficking - Involuntary Servitude,,,,4,2020
Grand Total,"5,493","1,560",65,4,2020
Index Violent Crime,360,180,7,4,2020
Index Property Crime,"3,519",384,27,4,2020
Part I Crime (Index Crime),"3,879",564,34,4,2020
1. Criminal Homicide,13,12,2,5,2020
a. Murder and Nonnegligent Homicide,12,9,2,5,2020
b. Manslaughter by Negligence,1,3,,5,2020
2. Forcible Rape Total,49,23,3,5,2020
a. Rape by Force,47,22,3,5,2020
b. Attempts to commit Forcible Rape,2,1,,5,2020
3. Robbery Total,114,28,5,5,2020
a. Firearm,40,9,2,5,2020
b. Knife or Cutting Instrument,15,1,1,5,2020
c. Other Dangerous Weapon,14,2,,5,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",45,16,2,5,2020
4. Assault Total,"2,455","1,561",42,5,2020
a. Firearm,67,27,5,5,2020
b. Knife or Cutting Instrument,85,50,,5,2020
c. Other Dangerous Weapon,95,60,1,5,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",44,31,1,5,2020
Aggravated Assault Total,291,168,7,5,2020
"4e. Other Assaults - Simple, Not Aggravated","2,164","1,393",35,5,2020
5. Burglary Total,513,84,5,5,2020
a. Forcible Entry,293,51,3,5,2020
b. Unlawful Entry - No Force,164,27,2,5,2020
c. Attempted Forcible Entry,56,6,,5,2020
6. Larceny - Theft Total,"2,604",404,11,5,2020
7. Motor Vehicle Theft Total,595,48,18,5,2020
a. Autos,524,46,18,5,2020
b. Trucks and Buses,14,1,,5,2020
c. Other Vehicles,57,1,,5,2020
8. Arson,25,4,,5,2020
9. Human Trafficking - Commercial Sex Act,1,,,5,2020
10. Human Trafficking - Involuntary Servitude,,,,5,2020
Grand Total,"6,369","2,164",86,5,2020
Index Violent Crime,466,228,17,5,2020
Index Property Crime,"3,737",540,34,5,2020
Part I Crime (Index Crime),"4,203",768,51,5,2020
1. Criminal Homicide,18,9,,6,2020
a. Murder and Nonnegligent Homicide,17,5,,6,2020
b. Manslaughter by Negligence,1,4,,6,2020
2. Forcible Rape Total,49,14,1,6,2020
a. Rape by Force,47,14,1,6,2020
b. Attempts to commit Forcible Rape,2,,,6,2020
3. Robbery Total,161,44,14,6,2020
a. Firearm,53,10,6,6,2020
b. Knife or Cutting Instrument,17,5,,6,2020
c. Other Dangerous Weapon,17,6,1,6,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",74,23,7,6,2020
4. Assault Total,"2,649","1,612",62,6,2020
a. Firearm,97,21,,6,2020
b. Knife or Cutting Instrument,106,55,,6,2020
c. Other Dangerous Weapon,114,69,2,6,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",82,43,2,6,2020
Aggravated Assault Total,399,188,4,6,2020
"4e. Other Assaults - Simple, Not Aggravated","2,250","1,424",58,6,2020
5. Burglary Total,531,80,8,6,2020
a. Forcible Entry,286,44,6,6,2020
b. Unlawful Entry - No Force,176,32,2,6,2020
c. Attempted Forcible Entry,69,4,,6,2020
6. Larceny - Theft Total,"3,095",391,23,6,2020
7. Motor Vehicle Theft Total,690,37,13,6,2020
a. Autos,615,36,13,6,2020
b. Trucks and Buses,11,,,6,2020
c. Other Vehicles,64,1,,6,2020
8. Arson,28,3,,6,2020
9. Human Trafficking - Commercial Sex Act,,,,6,2020
10. Human Trafficking - Involuntary Servitude,,,,6,2020
Grand Total,"7,221","2,190",121,6,2020
Index Violent Crime,626,251,19,6,2020
Index Property Crime,"4,344",511,44,6,2020
Part I Crime (Index Crime),"4,970",762,63,6,2020
1. Criminal Homicide,18,10,1,7,2020
a. Murder and Nonnegligent Homicide,16,9,1,7,2020
b. Manslaughter by Negligence,2,1,,7,2020
2. Forcible Rape Total,59,22,2,7,2020
a. Rape by Force,57,19,2,7,2020
b. Attempts to commit Forcible Rape,2,3,,7,2020
3. Robbery Total,127,37,5,7,2020
a. Firearm,36,9,4,7,2020
b. Knife or Cutting Instrument,11,3,,7,2020
c. Other Dangerous Weapon,14,5,1,7,2020
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",66,20,,7,2020
4. Assault Total,"2,712","1,636",55,7,2020
a. Firearm,113,16,1,7,2020
b. Knife or Cutting Instrument,108,59,2,7,2020
c. Other Dangerous Weapon,105,57,3,7,2020
"d. Hands, Fists, Feet, Etc. - Aggravated injury",72,44,4,7,2020
Aggravated Assault Total,398,176,10,7,2020
"4e. Other Assaults - Simple, Not Aggravated","2,314","1,460",45,7,2020
5. Burglary Total,600,90,15,7,2020
a. Forcible Entry,332,43,7,7,2020
b. Unlawful Entry - No Force,205,37,7,7,2020
c. Attempted Forcible Entry,63,10,1,7,2020
6. Larceny - Theft Total,"3,670",493,11,7,2020
7. Motor Vehicle Theft Total,804,60,20,7,2020
a. Autos,724,55,20,7,2020
b. Trucks and Buses,11,1,,7,2020
c. Other Vehicles,69,4,,7,2020
8. Arson,12,3,,7,2020
9. Human Trafficking - Commercial Sex Act,1,1,,7,2020
10. Human Trafficking - Involuntary Servitude,,,,7,2020
Grand Total,"8,003","2,352",109,7,2020
Index Violent Crime,600,244,18,7,2020
Index Property Crime,"5,086",646,46,7,2020
Part I Crime (Index Crime),"5,686",890,64,7,2020
1. Criminal Homicide,18,10,1,8,2020
a. Murder and Nonnegligent Homicide,18,9,1,8,2020
b. Manslaughter by Negligence,,1,,8,2020
2. Forcible Rape Total,60,16,1,8,2020
